index_seg,poi_total,crash_total,311_total,311_total_not_parking_meter,v0_total,crime_total,moving_total,parking_total,poi_total_neighbor,crash_total_neighbor,311_total_neighbor,311_total_not_parking_meter_neighbor,v0_total_neighbor,crime_total_neighbor,parking_total_neighbor
734,41.0,17.0,100.0,66.0,1.0,244.0,39.0,1627.0,49.16666666666666,21.5,212.5,161.0,2.1666666666666665,292.6666666666667,2659.5
735,60.0,15.0,67.0,9.0,2.0,268.0,14.0,1270.0,46.5,10.166666666666666,62.5,19.166666666666668,1.3333333333333333,286.1666666666667,2830.166666666666
736,45.0,18.0,94.0,8.0,2.0,242.0,9.0,568.0,30.44444444444445,5.517171717171717,38.66666666666666,3.0,3.6666666666666665,219.77777777777771,760.1380471380472
737,22.0,2.0,27.0,2.0,5.0,158.0,2.0,352.0,21.94117647058824,7.567914438502674,47.29411764705882,16.764705882352942,4.117647058823529,214.82352941176467,695.1489867622438
738,26.0,7.0,59.0,1.0,2.0,275.0,1.0,1181.0,17.5,7.0,30.625,8.25,1.75,226.625,922.9404954045807
739,15.0,9.0,26.0,0.0,0.0,351.0,11.0,172.0,19.363636363636363,5.7272727272727275,33.09090909090909,0.6363636363636364,0.5454545454545454,282.0,2291.5674931129474
740,15.0,3.0,40.0,0.0,0.0,317.0,3.0,553.0,22.11111111111111,7.333333333333332,67.0,17.777777777777782,0.3333333333333333,338.1111111111111,3508.222222222222
741,17.0,7.0,41.0,1.0,0.0,308.0,13.0,90.0,22.0,6.666666666666668,88.83333333333331,27.5,0.5,380.33333333333326,4831.333333333333
742,11.0,2.0,22.0,1.0,0.0,292.0,160.36049058256683,2245.0,20.666666666666668,12.666666666666664,79.83333333333333,22.33333333333333,0.3333333333333333,420.5,5611.666666666668
743,10.0,16.0,117.0,58.0,1.0,502.0,11.0,3684.0,18.714285714285715,14.428571428571427,92.14285714285714,45.42857142857143,1.1428571428571428,511.28571428571433,6705.2857142857165
744,10.0,11.0,86.0,58.0,2.0,666.0,11.0,48.0,25.714285714285715,26.0,130.85714285714286,81.71428571428571,2.0,690.1428571428571,5362.857142857143
745,20.0,23.0,50.0,26.0,2.0,649.0,1.0,2738.0,33.714285714285715,41.42857142857143,119.28571428571428,74.28571428571429,2.7142857142857144,730.5714285714287,5317.0
746,29.0,24.0,61.0,22.0,2.0,606.0,11.0,2645.0,36.57142857142857,41.42857142857143,100.14285714285714,54.85714285714285,2.0,674.8571428571429,5343.285714285715
747,20.0,9.0,24.0,1.0,2.0,479.0,32.0,1192.0,23.0,11.25,78.625,39.375,1.375,503.375,4051.625
748,33.0,13.0,61.0,3.0,2.0,393.0,1.0,394.0,21.4,8.9,41.6,10.5,1.3,354.7,1893.7320653746021
749,28.0,11.0,47.0,3.0,4.0,187.0,13.0,603.3206537460227,23.714285714285715,9.714285714285714,49.28571428571429,6.428571428571429,1.1428571428571428,347.8571428571428,1577.2857142857142
750,15.0,13.0,21.0,0.0,1.0,331.0,16.0,1657.0,21.166666666666668,8.666666666666666,56.5,5.166666666666667,1.6666666666666667,300.0,1695.3867756243371
751,18.0,10.0,77.0,0.0,0.0,280.0,7.0,396.0,16.571428571428573,8.714285714285714,34.57142857142857,0.0,0.8571428571428571,313.57142857142856,1451.857142857143
752,18.0,10.0,25.0,0.0,0.0,222.0,105.0,268.0,19.5,8.666666666666666,51.66666666666666,0.8333333333333334,0.8333333333333334,282.6666666666667,1356.1666666666667
753,13.0,9.0,27.0,0.0,1.0,218.0,12.0,459.0,16.666666666666668,14.0,42.16666666666666,0.8333333333333334,0.8333333333333334,260.8333333333333,1901.333333333333
754,10.0,14.0,36.0,0.0,0.0,224.0,39.0,578.0,17.5,15.666666666666664,49.83333333333334,0.16666666666666666,1.1666666666666667,277.8333333333333,3080.0
755,14.0,13.0,47.0,1.0,1.0,267.0,7.0,947.0,19.5,21.0,64.83333333333333,2.1666666666666665,1.5,378.0,3433.5
756,12.0,10.0,38.0,1.0,2.0,383.0,10.0,527.0,23.0,26.5,75.83333333333333,3.6666666666666665,2.833333333333333,656.0,2809.0
