column,,column,knn,I,p_norm,p_rand,z_norm,z_rand,ftr_type
IMPROPER DISPLAY OF TAGS,2030,IMPROPER DISPLAY OF TAGS,1,0.13110506498997732,0.0,0.0,12.416286262791038,12.445685158010017,parking
EMERGENCY NO PARKING,1961,EMERGENCY NO PARKING,2,0.12948712600084938,0.0,0.0,16.54808422225274,16.576744927026546,parking
311_SIGN MISSING,1332,311_SIGN MISSING,3,0.1294313517625936,0.0,0.0,19.820992965743475,19.821665069236857,311
NO PARKING ANYTIME,2052,NO PARKING ANYTIME,3,0.1263657029302475,0.0,0.0,19.351790555656706,19.368930416200183,parking
FAIL TO PROPERLY AFFIX VALIDATION STICKERS,1993,FAIL TO PROPERLY AFFIX VALIDATION STICKERS,4,0.12432353429664683,0.0,0.0,21.64717714745788,21.72758623081388,parking
RELOCATE TOW FEE,2240,RELOCATE TOW FEE,1,0.11694555711971069,0.0,0.0,11.076068157226212,11.085770593623618,parking
PARK IN A BUS ZONE,2136,PARK IN A BUS ZONE,7,0.1099592268445406,0.0,0.0,24.961883550101746,24.975392329271333,parking
STREETTYPE_OTHER,100,STREETTYPE_OTHER,1,0.1099262769878884,0.0,0.0,10.411683038273447,10.418383608367883,seg_attr
PARK OVERTIME IN TIMED ZONE,2182,PARK OVERTIME IN TIMED ZONE,3,0.10835440122346153,0.0,0.0,16.59513229771904,16.612944020844388,parking
PARK MORE THAN 12 INCHES FROM CURB,2160,PARK MORE THAN 12 INCHES FROM CURB,1,0.10415985279215471,0.0,0.0,9.865882563970391,9.866914241001433,parking
PARK WITHIN 10 FEET OF A FIRE HYDRANT,2201,PARK WITHIN 10 FEET OF A FIRE HYDRANT,2,0.0993630333176023,0.0,0.0,12.700508982084559,12.73218462903186,parking
311_LIGHT-OHGS,1003,311_LIGHT-OHGS,4,0.09911763835016137,0.0,0.0,17.260943308358808,17.265325387788653,311
311_LIGHT-TUNNEL/UNDPASS,1010,311_LIGHT-TUNNEL/UNDPASS,1,0.09606870856886676,0.0,0.0,9.10004394287271,9.104836005758228,311
EXPIRED INSPECTION REJECTION STICKER,1971,EXPIRED INSPECTION REJECTION STICKER,2,0.09240265422330271,0.0,0.0,11.81150022265046,11.823510665944744,parking
ud_art_pt_SgAsNd,304,ud_art_pt_SgAsNd,5,0.09230565199233606,0.0,0.0,17.81779450728211,17.8949265445248,net_SaN
PARK ON SIDEWALK OR AREA RESERVED FOR PEDESTRIANS,2171,PARK ON SIDEWALK OR AREA RESERVED FOR PEDESTRIANS,2,0.087099393901213,0.0,0.0,11.134145610779067,11.153119609578093,parking
PARK WITHIN 5 FEET OF DRIVEWAY OR ALLEY,2210,PARK WITHIN 5 FEET OF DRIVEWAY OR ALLEY,1,0.08079014442185833,3.907985046680551e-14,3.597122599785507e-14,7.653905525883451,7.665060342854906,parking
FAIL TO PAY ATTENTION WHILE OPERATING A VEHICLE,1896,FAIL TO PAY ATTENTION WHILE OPERATING A VEHICLE,7,0.07959872421882523,0.0,0.0,18.07436752423203,18.167415385908964,moving
311_CHILD SAFETY SEAT PR,931,311_CHILD SAFETY SEAT PR,2,0.07744359030159653,0.0,0.0,9.900865948401977,9.933079585865297,311
NO REAR TAGS.,2079,NO REAR TAGS.,10,0.07427664695417964,0.0,0.0,20.133641882567705,20.139315070148392,parking
