column,,column,db_nb,I,p_norm,p_rand,z_norm,z_rand,ftr_type
PARK LESS THAN 25 FEET FROM AN INTERSECTION,1501,PARK LESS THAN 25 FEET FROM AN INTERSECTION,150,0.1649226084021641,0.0,0.0,32.64989803703711,32.66860332888858,parking
PARK LESS THAN 40 FEET FROM AN INTERSECTION,1507,PARK LESS THAN 40 FEET FROM AN INTERSECTION,100,0.16364538212595284,0.0,0.0,21.555406773495903,21.566817557259963,parking
Climbing Lane,409,Climbing Lane,150,0.16237027057287057,0.0,0.0,32.144835591308144,32.19435189410699,bk_opendc
NO STANDING ANYTIME,1460,NO STANDING ANYTIME,200,0.1588312294945802,0.0,0.0,40.54314606697923,40.61216322928322,parking
311_RESIDENT PARKING PER,806,311_RESIDENT PARKING PER,50,0.15871571735856768,1.6431300764452317e-14,1.5987211554602254e-14,7.762527696057993,7.76679858122086,311
crash_1stharm_Parked Motor Vehicle,570,crash_1stharm_Parked Motor Vehicle,150,0.15823815769360727,0.0,0.0,31.32716364644395,31.47607491236466,crash
RESIDENTIAL PMT PKG 2ND OFFENSE CALENDAR YEAR,1583,RESIDENTIAL PMT PKG 2ND OFFENSE CALENDAR YEAR,50,0.1568089171164818,3.4638958368304884e-14,2.7533531010703882e-14,7.669312633045148,7.6979242117480435,parking
PARK ABREAST OF ANOTHER VEHICLE,1481,PARK ABREAST OF ANOTHER VEHICLE,200,0.15637782805192077,0.0,0.0,39.91718404537187,39.94404303904551,parking
side_walk_left,367,side_walk_left,150,0.15457933226577728,0.0,0.0,30.603146904668566,30.743779690160235,bk_osm
FAIL TO YIELD RIGHT OF WAY,1338,FAIL TO YIELD RIGHT OF WAY,50,0.15330409416861984,1.2967404927621828e-13,1.2168044349891716e-13,7.497977280383127,7.506055656449421,moving
311_BICYCLE SERVICES,612,311_BICYCLE SERVICES,150,0.1531693999752664,0.0,0.0,30.32414627913038,30.406803324687726,311
311_STRCAR,983,311_STRCAR,150,0.15176784555457662,0.0,0.0,30.046803485628878,30.056550199214115,311
PARK AT EXPIRED METER,1486,PARK AT EXPIRED METER,100,0.15151590328428324,0.0,0.0,19.95843082342218,20.018472472386254,parking
IMPROPER DISPLAY OF TAGS,1422,IMPROPER DISPLAY OF TAGS,50,0.14000435935995942,1.4997780795056315e-11,1.3377743357523286e-11,6.847811840458897,6.864147607361049,parking
Contraflow Bike Lane,416,Contraflow Bike Lane,150,0.13859614620661453,0.0,0.0,27.44035750080023,27.481426005108034,bk_opendc
ud_btw_cntr_SgAsNd,236,ud_btw_cntr_SgAsNd,300,0.13789328476811602,0.0,0.0,49.57966011924641,49.708240714071074,net_SaN
STREETTYPE_PL,86,STREETTYPE_PL,100,0.1356701107352146,0.0,0.0,17.872162324912086,18.767815062642825,seg_attr
NO STOPPING OR STANDING IN PM RUSH HOUR ZONE,1467,NO STOPPING OR STANDING IN PM RUSH HOUR ZONE,200,0.13309004892705098,0.0,0.0,33.97552890231963,34.09736608925099,parking
crash_evt_COLLISION_WITH_FIXED,512,crash_evt_COLLISION_WITH_FIXED,50,0.1314359490862834,2.5699353756181154e-10,2.198525805852114e-10,6.428940012171896,6.452629044975444,crash
PARK MORE THAN 12 INCHES FROM CURB,1514,PARK MORE THAN 12 INCHES FROM CURB,100,0.13122655411372078,0.0,0.0,17.287120448839225,17.288532137330556,parking
STREETTYPE_LN,66,STREETTYPE_LN,150,0.13080275021472593,0.0,0.0,25.898182481873718,25.986164538332897,seg_attr
ud_btw_cntr_SgAsEg,306,ud_btw_cntr_SgAsEg,300,0.1292496090077189,0.0,0.0,46.47348437351072,46.59489120203833,net_SaE
NO PARKING STREET CLEANING,1444,NO PARKING STREET CLEANING,100,0.12892960018911204,0.0,0.0,16.984701835153537,17.03913020440688,parking
311_SIGN MISSING,933,311_SIGN MISSING,100,0.12658240781718552,0.0,0.0,16.675668791187473,16.676511982880818,311
NO PARKING ANYTIME,1438,NO PARKING ANYTIME,150,0.1251830440471125,0.0,0.0,24.786142175642535,24.80702614493077,parking
EMERGENCY NO PARKING,1375,EMERGENCY NO PARKING,150,0.12443517517113376,0.0,0.0,24.638152172418334,24.679277811536593,parking
STREETTYPE_PKWY,80,STREETTYPE_PKWY,150,0.1117946880513033,0.0,0.0,22.13682367793992,22.17579307854623,seg_attr
PARK OVERTIME IN TIMED ZONE,1528,PARK OVERTIME IN TIMED ZONE,100,0.111199001622318,0.0,0.0,14.650278414230689,14.66624690433179,parking
PARK IN A BUS ZONE,1494,PARK IN A BUS ZONE,150,0.1041690233880759,0.0,0.0,20.62783971785629,20.639698263551352,parking
EXPIRED INSPECTION REJECTION STICKER,1380,EXPIRED INSPECTION REJECTION STICKER,50,0.09983146216498329,2.0797779916037484e-06,2.026084865658362e-06,4.883935887023006,4.889087926264269,parking
311_LIGHT-TUNNEL/UNDPASS,709,311_LIGHT-TUNNEL/UNDPASS,100,0.088703757481601,0.0,0.0,11.68853831371233,11.69442524262801,311
311_LIGHT-OHGS,702,311_LIGHT-OHGS,100,0.08377610762029368,0.0,0.0,11.039760371839215,11.042954110305972,311
PARK WITHIN 10 FEET OF A FIRE HYDRANT,1543,PARK WITHIN 10 FEET OF A FIRE HYDRANT,150,0.08352874642844033,0.0,0.0,16.543494517894146,16.58371379594711,parking
